VCD info: dumpfile results/tb_grid.vcd opened for output.
Time: 800905 | din: 169 | trig: 0 | rst: 0 | dout0:   3 | dout1:   0 | dout2:   0 | dout3:   3 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 900470 | din: 141 | trig: 1 | rst: 0 | dout0:   3 | dout1:   0 | dout2:   0 | dout3:   3 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 900520 | din: 141 | trig: 0 | rst: 0 | dout0:   3 | dout1:   0 | dout2:   0 | dout3:   3 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 900655 | din: 141 | trig: 0 | rst: 0 | dout0:   3 | dout1:   0 | dout2:   0 | dout3:   4 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 900975 | din: 141 | trig: 0 | rst: 0 | dout0:   3 | dout1:   0 | dout2:   1 | dout3:   4 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 900995 | din: 141 | trig: 0 | rst: 0 | dout0:   3 | dout1:   0 | dout2:   1 | dout3:   5 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 901335 | din: 141 | trig: 0 | rst: 0 | dout0:   3 | dout1:   0 | dout2:   1 | dout3:   6 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 901405 | din: 141 | trig: 0 | rst: 0 | dout0:   3 | dout1:   0 | dout2:   2 | dout3:   6 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 901675 | din: 141 | trig: 0 | rst: 0 | dout0:   3 | dout1:   0 | dout2:   2 | dout3:   7 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1000520 | din: 184 | trig: 1 | rst: 0 | dout0:   3 | dout1:   0 | dout2:   2 | dout3:   7 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1000570 | din: 184 | trig: 0 | rst: 0 | dout0:   3 | dout1:   0 | dout2:   2 | dout3:   7 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1001025 | din: 184 | trig: 0 | rst: 0 | dout0:   3 | dout1:   0 | dout2:   1 | dout3:   7 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1100570 | din: 196 | trig: 1 | rst: 0 | dout0:   3 | dout1:   0 | dout2:   1 | dout3:   7 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1100620 | din: 196 | trig: 0 | rst: 0 | dout0:   3 | dout1:   0 | dout2:   1 | dout3:   7 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1101065 | din: 196 | trig: 0 | rst: 0 | dout0:   4 | dout1:   0 | dout2:   1 | dout3:   7 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1200620 | din:  90 | trig: 1 | rst: 0 | dout0:   4 | dout1:   0 | dout2:   1 | dout3:   7 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1200670 | din:  90 | trig: 0 | rst: 0 | dout0:   4 | dout1:   0 | dout2:   1 | dout3:   7 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1201575 | din:  90 | trig: 0 | rst: 0 | dout0:   4 | dout1:   0 | dout2:   1 | dout3:   8 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1300670 | din:  80 | trig: 1 | rst: 0 | dout0:   4 | dout1:   0 | dout2:   1 | dout3:   8 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1300720 | din:  80 | trig: 0 | rst: 0 | dout0:   4 | dout1:   0 | dout2:   1 | dout3:   8 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1300895 | din:  80 | trig: 0 | rst: 0 | dout0:   5 | dout1:   0 | dout2:   1 | dout3:   8 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1400720 | din: 100 | trig: 1 | rst: 0 | dout0:   5 | dout1:   0 | dout2:   1 | dout3:   8 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1400770 | din: 100 | trig: 0 | rst: 0 | dout0:   5 | dout1:   0 | dout2:   1 | dout3:   8 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1401145 | din: 100 | trig: 0 | rst: 0 | dout0:   5 | dout1:   0 | dout2:   2 | dout3:   8 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1500770 | din: 143 | trig: 1 | rst: 0 | dout0:   5 | dout1:   0 | dout2:   2 | dout3:   8 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1500820 | din: 143 | trig: 0 | rst: 0 | dout0:   5 | dout1:   0 | dout2:   2 | dout3:   8 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
