VCD info: dumpfile results/tb_abs_dtc.vcd opened for output.
Time: 430 | din:  -42 | dtc_in_unsigned:  42 | din_sign: 0
Time: 435 | din:  -41 | dtc_in_unsigned:  41 | din_sign: 0
Time: 440 | din:  -40 | dtc_in_unsigned:  40 | din_sign: 0
Time: 445 | din:  -39 | dtc_in_unsigned:  39 | din_sign: 0
Time: 450 | din:  -38 | dtc_in_unsigned:  38 | din_sign: 0
Time: 455 | din:  -37 | dtc_in_unsigned:  37 | din_sign: 0
Time: 460 | din:  -36 | dtc_in_unsigned:  36 | din_sign: 0
Time: 465 | din:  -35 | dtc_in_unsigned:  35 | din_sign: 0
Time: 470 | din:  -34 | dtc_in_unsigned:  34 | din_sign: 0
Time: 475 | din:  -33 | dtc_in_unsigned:  33 | din_sign: 0
Time: 480 | din:  -32 | dtc_in_unsigned:  32 | din_sign: 0
Time: 485 | din:  -31 | dtc_in_unsigned:  31 | din_sign: 0
Time: 490 | din:  -30 | dtc_in_unsigned:  30 | din_sign: 0
Time: 495 | din:  -29 | dtc_in_unsigned:  29 | din_sign: 0
Time: 500 | din:  -28 | dtc_in_unsigned:  28 | din_sign: 0
Time: 505 | din:  -27 | dtc_in_unsigned:  27 | din_sign: 0
Time: 510 | din:  -26 | dtc_in_unsigned:  26 | din_sign: 0
Time: 515 | din:  -25 | dtc_in_unsigned:  25 | din_sign: 0
Time: 520 | din:  -24 | dtc_in_unsigned:  24 | din_sign: 0
Time: 525 | din:  -23 | dtc_in_unsigned:  23 | din_sign: 0
Time: 530 | din:  -22 | dtc_in_unsigned:  22 | din_sign: 0
Time: 535 | din:  -21 | dtc_in_unsigned:  21 | din_sign: 0
Time: 540 | din:  -20 | dtc_in_unsigned:  20 | din_sign: 0
Time: 545 | din:  -19 | dtc_in_unsigned:  19 | din_sign: 0
Time: 550 | din:  -18 | dtc_in_unsigned:  18 | din_sign: 0
Time: 555 | din:  -17 | dtc_in_unsigned:  17 | din_sign: 0
Time: 560 | din:  -16 | dtc_in_unsigned:  16 | din_sign: 0
Time: 565 | din:  -15 | dtc_in_unsigned:  15 | din_sign: 0
Time: 570 | din:  -14 | dtc_in_unsigned:  14 | din_sign: 0
Time: 575 | din:  -13 | dtc_in_unsigned:  13 | din_sign: 0
Time: 580 | din:  -12 | dtc_in_unsigned:  12 | din_sign: 0
Time: 585 | din:  -11 | dtc_in_unsigned:  11 | din_sign: 0
Time: 590 | din:  -10 | dtc_in_unsigned:  10 | din_sign: 0
Time: 595 | din:   -9 | dtc_in_unsigned:   9 | din_sign: 0
Time: 600 | din:   -8 | dtc_in_unsigned:   8 | din_sign: 0
Time: 605 | din:   -7 | dtc_in_unsigned:   7 | din_sign: 0
Time: 610 | din:   -6 | dtc_in_unsigned:   6 | din_sign: 0
Time: 615 | din:   -5 | dtc_in_unsigned:   5 | din_sign: 0
Time: 620 | din:   -4 | dtc_in_unsigned:   4 | din_sign: 0
Time: 625 | din:   -3 | dtc_in_unsigned:   3 | din_sign: 0
Time: 630 | din:   -2 | dtc_in_unsigned:   2 | din_sign: 0
Time: 635 | din:   -1 | dtc_in_unsigned:   1 | din_sign: 0
Time: 640 | din:    0 | dtc_in_unsigned:   0 | din_sign: 1
Time: 645 | din:    1 | dtc_in_unsigned:   1 | din_sign: 1
Time: 650 | din:    2 | dtc_in_unsigned:   2 | din_sign: 1
Time: 655 | din:    3 | dtc_in_unsigned:   3 | din_sign: 1
Time: 660 | din:    4 | dtc_in_unsigned:   4 | din_sign: 1
Time: 665 | din:    5 | dtc_in_unsigned:   5 | din_sign: 1
Time: 670 | din:    6 | dtc_in_unsigned:   6 | din_sign: 1
Time: 675 | din:    7 | dtc_in_unsigned:   7 | din_sign: 1
Time: 680 | din:    8 | dtc_in_unsigned:   8 | din_sign: 1
Time: 685 | din:    9 | dtc_in_unsigned:   9 | din_sign: 1
Time: 690 | din:   10 | dtc_in_unsigned:  10 | din_sign: 1
Time: 695 | din:   11 | dtc_in_unsigned:  11 | din_sign: 1
Time: 700 | din:   12 | dtc_in_unsigned:  12 | din_sign: 1
Time: 705 | din:   13 | dtc_in_unsigned:  13 | din_sign: 1
Time: 710 | din:   14 | dtc_in_unsigned:  14 | din_sign: 1
Time: 715 | din:   15 | dtc_in_unsigned:  15 | din_sign: 1
Time: 720 | din:   16 | dtc_in_unsigned:  16 | din_sign: 1
Time: 725 | din:   17 | dtc_in_unsigned:  17 | din_sign: 1
Time: 730 | din:   18 | dtc_in_unsigned:  18 | din_sign: 1
Time: 735 | din:   19 | dtc_in_unsigned:  19 | din_sign: 1
Time: 740 | din:   20 | dtc_in_unsigned:  20 | din_sign: 1
Time: 745 | din:   21 | dtc_in_unsigned:  21 | din_sign: 1
Time: 750 | din:   22 | dtc_in_unsigned:  22 | din_sign: 1
Time: 755 | din:   23 | dtc_in_unsigned:  23 | din_sign: 1
Time: 760 | din:   24 | dtc_in_unsigned:  24 | din_sign: 1
Time: 765 | din:   25 | dtc_in_unsigned:  25 | din_sign: 1
Time: 770 | din:   26 | dtc_in_unsigned:  26 | din_sign: 1
Time: 775 | din:   27 | dtc_in_unsigned:  27 | din_sign: 1
Time: 780 | din:   28 | dtc_in_unsigned:  28 | din_sign: 1
Time: 785 | din:   29 | dtc_in_unsigned:  29 | din_sign: 1
Time: 790 | din:   30 | dtc_in_unsigned:  30 | din_sign: 1
Time: 795 | din:   31 | dtc_in_unsigned:  31 | din_sign: 1
Time: 800 | din:   32 | dtc_in_unsigned:  32 | din_sign: 1
Time: 805 | din:   33 | dtc_in_unsigned:  33 | din_sign: 1
Time: 810 | din:   34 | dtc_in_unsigned:  34 | din_sign: 1
Time: 815 | din:   35 | dtc_in_unsigned:  35 | din_sign: 1
Time: 820 | din:   36 | dtc_in_unsigned:  36 | din_sign: 1
Time: 825 | din:   37 | dtc_in_unsigned:  37 | din_sign: 1
Time: 830 | din:   38 | dtc_in_unsigned:  38 | din_sign: 1
Time: 835 | din:   39 | dtc_in_unsigned:  39 | din_sign: 1
Time: 840 | din:   40 | dtc_in_unsigned:  40 | din_sign: 1
Time: 845 | din:   41 | dtc_in_unsigned:  41 | din_sign: 1
Time: 850 | din:   42 | dtc_in_unsigned:  42 | din_sign: 1
Time: 855 | din:   43 | dtc_in_unsigned:  43 | din_sign: 1
Time: 860 | din:   44 | dtc_in_unsigned:  44 | din_sign: 1
Time: 865 | din:   45 | dtc_in_unsigned:  45 | din_sign: 1
Time: 870 | din:   46 | dtc_in_unsigned:  46 | din_sign: 1
Time: 875 | din:   47 | dtc_in_unsigned:  47 | din_sign: 1
Time: 880 | din:   48 | dtc_in_unsigned:  48 | din_sign: 1
Time: 885 | din:   49 | dtc_in_unsigned:  49 | din_sign: 1
Time: 890 | din:   50 | dtc_in_unsigned:  50 | din_sign: 1
Time: 895 | din:   51 | dtc_in_unsigned:  51 | din_sign: 1
Time: 900 | din:   52 | dtc_in_unsigned:  52 | din_sign: 1
Time: 905 | din:   53 | dtc_in_unsigned:  53 | din_sign: 1
Time: 910 | din:   54 | dtc_in_unsigned:  54 | din_sign: 1
Time: 915 | din:   55 | dtc_in_unsigned:  55 | din_sign: 1
Time: 920 | din:   56 | dtc_in_unsigned:  56 | din_sign: 1
Time: 925 | din:   57 | dtc_in_unsigned:  57 | din_sign: 1
Time: 930 | din:   58 | dtc_in_unsigned:  58 | din_sign: 1
Time: 935 | din:   59 | dtc_in_unsigned:  59 | din_sign: 1
Time: 940 | din:   60 | dtc_in_unsigned:  60 | din_sign: 1
Time: 945 | din:   61 | dtc_in_unsigned:  61 | din_sign: 1
Time: 950 | din:   62 | dtc_in_unsigned:  62 | din_sign: 1
Time: 955 | din:   63 | dtc_in_unsigned:  63 | din_sign: 1
Time: 960 | din:   64 | dtc_in_unsigned:  64 | din_sign: 1
Time: 965 | din:   65 | dtc_in_unsigned:  65 | din_sign: 1
Time: 970 | din:   66 | dtc_in_unsigned:  66 | din_sign: 1
Time: 975 | din:   67 | dtc_in_unsigned:  67 | din_sign: 1
Time: 980 | din:   68 | dtc_in_unsigned:  68 | din_sign: 1
Time: 985 | din:   69 | dtc_in_unsigned:  69 | din_sign: 1
Time: 990 | din:   70 | dtc_in_unsigned:  70 | din_sign: 1
Time: 995 | din:   71 | dtc_in_unsigned:  71 | din_sign: 1
Time: 1000 | din:   72 | dtc_in_unsigned:  72 | din_sign: 1
Time: 1005 | din:   73 | dtc_in_unsigned:  73 | din_sign: 1
Time: 1010 | din:   74 | dtc_in_unsigned:  74 | din_sign: 1
Time: 1015 | din:   75 | dtc_in_unsigned:  75 | din_sign: 1
Time: 1020 | din:   76 | dtc_in_unsigned:  76 | din_sign: 1
Time: 1025 | din:   77 | dtc_in_unsigned:  77 | din_sign: 1
Time: 1030 | din:   78 | dtc_in_unsigned:  78 | din_sign: 1
Time: 1035 | din:   79 | dtc_in_unsigned:  79 | din_sign: 1
Time: 1040 | din:   80 | dtc_in_unsigned:  80 | din_sign: 1
Time: 1045 | din:   81 | dtc_in_unsigned:  81 | din_sign: 1
Time: 1050 | din:   82 | dtc_in_unsigned:  82 | din_sign: 1
Time: 1055 | din:   83 | dtc_in_unsigned:  83 | din_sign: 1
Time: 1060 | din:   84 | dtc_in_unsigned:  84 | din_sign: 1
Time: 1065 | din:   85 | dtc_in_unsigned:  85 | din_sign: 1
Time: 1070 | din:   86 | dtc_in_unsigned:  86 | din_sign: 1
Time: 1075 | din:   87 | dtc_in_unsigned:  87 | din_sign: 1
Time: 1080 | din:   88 | dtc_in_unsigned:  88 | din_sign: 1
Time: 1085 | din:   89 | dtc_in_unsigned:  89 | din_sign: 1
Time: 1090 | din:   90 | dtc_in_unsigned:  90 | din_sign: 1
Time: 1095 | din:   91 | dtc_in_unsigned:  91 | din_sign: 1
Time: 1100 | din:   92 | dtc_in_unsigned:  92 | din_sign: 1
Time: 1105 | din:   93 | dtc_in_unsigned:  93 | din_sign: 1
Time: 1110 | din:   94 | dtc_in_unsigned:  94 | din_sign: 1
Time: 1115 | din:   95 | dtc_in_unsigned:  95 | din_sign: 1
Time: 1120 | din:   96 | dtc_in_unsigned:  96 | din_sign: 1
Time: 1125 | din:   97 | dtc_in_unsigned:  97 | din_sign: 1
Time: 1130 | din:   98 | dtc_in_unsigned:  98 | din_sign: 1
Time: 1135 | din:   99 | dtc_in_unsigned:  99 | din_sign: 1
Time: 1140 | din:  100 | dtc_in_unsigned: 100 | din_sign: 1
Time: 1145 | din:  101 | dtc_in_unsigned: 101 | din_sign: 1
Time: 1150 | din:  102 | dtc_in_unsigned: 102 | din_sign: 1
Time: 1155 | din:  103 | dtc_in_unsigned: 103 | din_sign: 1
Time: 1160 | din:  104 | dtc_in_unsigned: 104 | din_sign: 1
Time: 1165 | din:  105 | dtc_in_unsigned: 105 | din_sign: 1
Time: 1170 | din:  106 | dtc_in_unsigned: 106 | din_sign: 1
Time: 1175 | din:  107 | dtc_in_unsigned: 107 | din_sign: 1
Time: 1180 | din:  108 | dtc_in_unsigned: 108 | din_sign: 1
Time: 1185 | din:  109 | dtc_in_unsigned: 109 | din_sign: 1
Time: 1190 | din:  110 | dtc_in_unsigned: 110 | din_sign: 1
Time: 1195 | din:  111 | dtc_in_unsigned: 111 | din_sign: 1
Time: 1200 | din:  112 | dtc_in_unsigned: 112 | din_sign: 1
Time: 1205 | din:  113 | dtc_in_unsigned: 113 | din_sign: 1
Time: 1210 | din:  114 | dtc_in_unsigned: 114 | din_sign: 1
Time: 1215 | din:  115 | dtc_in_unsigned: 115 | din_sign: 1
Time: 1220 | din:  116 | dtc_in_unsigned: 116 | din_sign: 1
Time: 1225 | din:  117 | dtc_in_unsigned: 117 | din_sign: 1
Time: 1230 | din:  118 | dtc_in_unsigned: 118 | din_sign: 1
Time: 1235 | din:  119 | dtc_in_unsigned: 119 | din_sign: 1
Time: 1240 | din:  120 | dtc_in_unsigned: 120 | din_sign: 1
Time: 1245 | din:  121 | dtc_in_unsigned: 121 | din_sign: 1
Time: 1250 | din:  122 | dtc_in_unsigned: 122 | din_sign: 1
Time: 1255 | din:  123 | dtc_in_unsigned: 123 | din_sign: 1
Time: 1260 | din:  124 | dtc_in_unsigned: 124 | din_sign: 1
Time: 1265 | din:  125 | dtc_in_unsigned: 125 | din_sign: 1
Time: 1270 | din:  126 | dtc_in_unsigned: 126 | din_sign: 1
Time: 1275 | din:  127 | dtc_in_unsigned: 127 | din_sign: 1
testbenches/tb_abs_dtc.v:39: $finish called at 1280 (1s)
